Date,GridPrice
1/22/2025 14:00:00,2586.15
1/22/2025 14:00:00,2086.15
1/22/2025 14:00:00,3586.15
1/22/2025 14:00:00,2736.15
1/22/2025 14:00:00,2036.15
1/22/2025 14:00:00,3086.15
1/23/2025 14:00:00,2591.38
1/23/2025 14:00:00,2041.38
1/23/2025 14:00:00,3091.38
1/23/2025 14:00:00,2491.38
1/23/2025 14:00:00,1991.38
1/23/2025 14:00:00,3591.38
1/23/2025 14:00:00,2791.38
1/23/2025 14:00:00,2241.38
1/23/2025 14:00:00,2991.38
1/23/2025 14:00:00,3991.38
1/23/2025 14:00:00,2391.38
1/23/2025 14:00:00,3241.38
1/23/2025 14:00:00,2091.38
1/23/2025 14:00:00,2591.38
1/23/2025 14:00:00,2741.38
1/23/2025 14:00:00,2691.38
1/24/2025 14:00:00,2742.44
1/24/2025 14:00:00,3992.44
1/24/2025 14:00:00,2592.44
1/24/2025 14:00:00,2692.44
1/24/2025 14:00:00,2092.44
1/24/2025 14:00:00,2992.44
1/24/2025 14:00:00,2792.44
1/24/2025 14:00:00,1992.44
1/24/2025 14:00:00,3242.44
1/24/2025 14:00:00,3592.44
1/24/2025 14:00:00,2492.44
1/24/2025 14:00:00,3092.44
1/24/2025 14:00:00,2042.44
1/24/2025 14:00:00,2242.44
1/24/2025 14:00:00,3292.44
1/24/2025 14:00:00,2592.44
1/24/2025 14:00:00,2392.44
1/27/2025 14:00:00,2695.78
1/27/2025 14:00:00,3295.78
1/27/2025 14:00:00,2595.78
1/27/2025 14:00:00,2495.78
1/27/2025 14:00:00,2245.78
1/27/2025 14:00:00,2745.78
1/27/2025 14:00:00,3995.78
1/27/2025 14:00:00,2045.78
1/27/2025 14:00:00,2095.78
1/27/2025 14:00:00,2595.78
1/27/2025 14:00:00,3245.78
1/27/2025 14:00:00,2795.78
1/27/2025 14:00:00,1995.78
1/27/2025 14:00:00,2395.78
1/27/2025 14:00:00,3595.78
1/27/2025 14:00:00,2995.78
1/27/2025 14:00:00,3095.78
1/28/2025 14:00:00,3295.29
1/28/2025 14:00:00,3095.29
1/28/2025 14:00:00,3995.29
1/28/2025 14:00:00,2795.29
1/28/2025 14:00:00,1995.29
1/28/2025 14:00:00,2745.29
1/28/2025 14:00:00,2095.29
1/28/2025 14:00:00,3245.29
1/28/2025 14:00:00,2245.29
1/28/2025 14:00:00,2495.29
1/28/2025 14:00:00,2595.29
1/28/2025 14:00:00,2995.29
1/28/2025 14:00:00,2695.29
1/28/2025 14:00:00,2595.29
1/28/2025 14:00:00,3595.29
1/28/2025 14:00:00,2395.29
1/28/2025 14:00:00,2045.29
1/29/2025 14:00:00,2591.6
1/29/2025 14:00:00,2791.6
1/29/2025 14:00:00,2391.6
1/29/2025 14:00:00,2591.6
1/29/2025 14:00:00,2091.6
1/29/2025 14:00:00,3241.6
1/29/2025 14:00:00,2691.6
1/29/2025 14:00:00,3091.6
1/29/2025 14:00:00,2741.6
1/29/2025 14:00:00,2491.6
1/29/2025 14:00:00,1991.6
1/29/2025 14:00:00,2991.6
1/29/2025 14:00:00,2041.6
1/29/2025 14:00:00,3991.6
1/29/2025 14:00:00,3291.6
1/29/2025 14:00:00,3591.6
1/29/2025 14:00:00,2241.6
1/30/2025 14:00:00,3213.7
1/30/2025 14:00:00,2463.7
1/30/2025 14:00:00,2763.7
1/30/2025 14:00:00,3963.7
1/30/2025 14:00:00,3063.7
1/30/2025 14:00:00,2363.7
1/30/2025 14:00:00,2663.7
1/30/2025 14:00:00,3263.7
1/30/2025 14:00:00,2213.7
1/30/2025 14:00:00,2713.7
1/30/2025 14:00:00,2563.7
1/30/2025 14:00:00,2563.7
1/30/2025 14:00:00,2013.7
1/30/2025 14:00:00,1963.7
1/30/2025 14:00:00,2063.7
1/30/2025 14:00:00,2963.7
1/30/2025 14:00:00,3563.7
1/31/2025 14:00:00,2697.28
1/31/2025 14:00:00,2347.28
1/31/2025 14:00:00,1997.28
1/31/2025 14:00:00,2447.28
1/31/2025 14:00:00,2747.28
1/31/2025 14:00:00,2547.28
1/31/2025 14:00:00,2197.28
1/31/2025 14:00:00,2947.28
1/31/2025 14:00:00,3197.28
1/31/2025 14:00:00,1947.28
1/31/2025 14:00:00,2047.28
1/31/2025 14:00:00,3047.28
1/31/2025 14:00:00,3547.28
1/31/2025 14:00:00,3247.28
1/31/2025 14:00:00,3947.28
1/31/2025 14:00:00,2547.28
1/31/2025 14:00:00,2647.28
2/3/2025 14:00:00,2571.19
2/3/2025 14:00:00,3046.19
2/3/2025 14:00:00,2221.19
2/3/2025 14:00:00,2421.19
2/3/2025 14:00:00,3571.19
2/3/2025 14:00:00,1971.19
2/3/2025 14:00:00,2071.19
2/3/2025 14:00:00,2771.19
2/3/2025 14:00:00,2471.19
2/3/2025 14:00:00,2721.19
2/3/2025 14:00:00,2371.19
2/3/2025 14:00:00,2021.19
2/3/2025 14:00:00,2546.19
2/3/2025 14:00:00,2971.19
2/3/2025 14:00:00,3271.19
2/3/2025 14:00:00,3971.19
2/3/2025 14:00:00,3221.19
2/3/2025 14:00:00,3071.19
2/3/2025 14:00:00,2571.19
2/3/2025 14:00:00,2671.19
2/4/2025 14:00:00,2068.54
2/4/2025 14:00:00,2543.54
2/4/2025 14:00:00,3268.54
2/4/2025 14:00:00,2768.54
2/4/2025 14:00:00,2718.54
2/4/2025 14:00:00,2218.54
2/4/2025 14:00:00,2568.54
2/4/2025 14:00:00,2468.54
2/4/2025 14:00:00,2568.54
2/4/2025 14:00:00,2968.54
2/4/2025 14:00:00,2018.54
2/4/2025 14:00:00,2418.54
2/4/2025 14:00:00,3968.54
2/4/2025 14:00:00,3568.54
2/4/2025 14:00:00,2668.54
2/4/2025 14:00:00,1968.54
2/4/2025 14:00:00,3068.54
2/4/2025 14:00:00,3043.54
2/4/2025 14:00:00,3218.54
2/4/2025 14:00:00,2368.54
2/5/2025 14:00:00,1973.85
2/5/2025 14:00:00,3273.85
2/5/2025 14:00:00,2473.85
2/5/2025 14:00:00,3573.85
2/5/2025 14:00:00,2073.85
2/5/2025 14:00:00,2373.85
2/5/2025 14:00:00,2723.85
2/5/2025 14:00:00,3973.85
2/5/2025 14:00:00,2573.85
2/5/2025 14:00:00,2573.85
2/5/2025 14:00:00,3048.85
2/5/2025 14:00:00,2973.85
2/5/2025 14:00:00,2023.85
2/5/2025 14:00:00,2223.85
2/5/2025 14:00:00,3223.85
2/5/2025 14:00:00,2673.85
2/5/2025 14:00:00,2548.85
2/5/2025 14:00:00,2773.85
2/5/2025 14:00:00,3073.85
2/6/2025 14:00:00,2782.14
2/6/2025 14:00:00,2732.14
2/6/2025 14:00:00,3057.14
2/6/2025 14:00:00,2582.14
2/6/2025 14:00:00,3482.14
2/6/2025 14:00:00,2082.14
2/6/2025 14:00:00,2682.14
2/6/2025 14:00:00,2432.14
2/6/2025 14:00:00,2232.14
2/6/2025 14:00:00,2982.14
2/6/2025 14:00:00,3982.14
2/6/2025 14:00:00,2582.14
2/6/2025 14:00:00,2557.14
2/6/2025 14:00:00,1982.14
2/6/2025 14:00:00,3282.14
2/6/2025 14:00:00,3082.14
2/6/2025 14:00:00,3232.14
2/6/2025 14:00:00,2382.14
